TEAM,AdjOE,AdjDE,Tempo
Southern Illinois,102.41202750193575,99.25771832060994,68.97275074713068
UC Santa Barbara,113.47738655833354,109.99211970065336,64.31088426011024
Fresno St.,106.99668618835972,103.71338954142304,68.25063087733042
Toledo,114.45266378865328,111.03670642782224,67.85687653969437
Wright St.,112.24749250654334,108.93655439615918,66.9619114976331
Memphis,107.87358160136112,104.73704407194676,69.92928396760459
Bradley,110.67336271377104,107.69301598271302,67.49131938635948
Murray St.,115.03722398021816,112.11257155025436,71.77743340633562
Idaho,108.71450211154172,106.08767976268308,67.4105640221045
UAB,108.46889960296012,105.91892023832769,69.28975413698858
Northern Colorado,112.18790531277082,109.7336258972622,68.44937606480565
Boston College,103.63831309068544,101.43903887401706,65.94257802464895
North Texas,103.06168030778365,101.10390341473838,64.9604012856095
Penn St.,113.67777122839772,111.61559713192987,67.50255256805931
Troy,110.62676333156084,108.85989013440984,65.07153619021469
Temple,111.66128231240836,110.08657764785548,64.87638635913166
Central Arkansas,109.49846985454812,107.96576201690236,67.89546799650607
Kennesaw St.,110.8236433807436,109.31008780425348,71.25276868856895
Arkansas St.,109.80332595708327,108.3307482750559,72.13389904052524
Loyola Marymount,106.44838921188123,105.33964944766711,67.18084738823352
Penn,106.44157676453852,105.39233969365144,69.00285133607171
Robert Morris,109.87356099923728,108.79849315486078,64.52804274574495
Eastern Washington,113.0907870465036,112.04681657452667,67.79028134787914
Navy,106.3787272773144,105.41140134157018,65.14840085206463
Bowling Green,105.8735519520238,105.00457471993164,68.2113580860127
Rhode Island,104.04812344690248,103.27068152069872,65.81561173621911
Middle Tennessee,109.70420147951212,108.92827582310689,65.53631042618373
St. Bonaventure,112.98384479711204,112.28533588748331,67.12305714695489
Kent St.,110.5894615039538,109.95828171673588,70.5500658977752
Cornell,119.6416893560671,119.05714613701362,71.38538367773214
Oregon St.,109.38592381438316,108.8939257683782,65.21541821645847
Austin Peay,108.5781751100594,108.11569020464287,69.19610489496682
William & Mary,110.34349022350608,109.89797329777105,72.62462334807452
Portland St.,102.9425777985278,102.5538944829296,67.77072437018218
Valparaiso,107.47786993944528,107.17822899831002,65.09497631715557
Georgia Tech,106.79218689722909,106.49689517241184,70.89051782286096
UC Davis,106.78641996480022,106.66640198580332,68.85310353850122
Western Kentucky,108.12826042409928,108.02901630892956,69.87558865934223
Montana,107.05394962962764,106.96114137174948,69.48210361718516
Harvard,105.21200082329236,105.12473045870632,63.10556167178231
Richmond,110.31750053782436,110.40447371162487,67.55471310630456
Cal St. Northridge,108.7569005269593,108.9219552648298,73.43769077707773
Monmouth,106.30694507822508,106.66771026286531,66.87675109969356
Merrimack,105.99732822872684,106.36172159742338,63.48423232647623
Charlotte,112.81200787401129,113.42201668103831,63.348208496896746
FIU,107.69677142298244,108.34986643513444,71.59532775835896
Winthrop,110.27881999523495,110.95309714222913,69.90089689318823
Massachusetts,109.809527156642,110.51454331258088,70.15076662571084
Towson,104.05412728867482,104.7731478142958,63.38293441825863
Fordham,103.08013688224707,104.16459997596414,64.17895442554205
Oakland,113.71040788092832,114.92369822547866,69.9766291808747
Texas A&M Corpus Chris,104.01369352100836,105.1586324405529,65.90070569645505
Northern Kentucky,108.83201420367668,110.06635920402604,69.98967005779129
Green Bay,112.96791003521666,114.25768498764609,62.93874703235458
UT Arlington,101.267270668251,102.5191142740005,64.7959758822559
Utah Tech,111.14584173872106,112.64393337630146,66.4286538652975
South Alabama,107.37067296456848,108.87648469927832,64.56215593163776
Appalachian St.,105.27949711318244,106.87825683407614,62.96955291307059
Louisiana Tech,103.25049637763226,104.9081742593758,63.92060013786266
Campbell,110.33891664039184,112.18927922204908,69.82391052065014
Siena,107.04885315694396,108.8535738406834,64.6161380614998
Detroit Mercy,108.70275940455171,110.54285141460106,68.79739119584215
Portland,106.21698250041392,108.05758226502198,68.47696511363824
New Mexico St.,108.11865669355568,109.99805041285022,66.58411591072118
Charleston,106.69835228026102,108.6479897182994,67.70842483919635
Youngstown St.,106.22781360745168,108.17431626052009,67.2404450421365
Furman,106.8256784112452,108.9545322764453,65.82678181854875
Missouri St.,109.30575545645144,111.51320511506128,65.24898720402564
East Tennessee St.,107.75597509829252,109.97746585651063,66.00348438785089
Cal St. Fullerton,107.46416240685456,109.72159141017404,72.84178121194363
UMBC,107.90392567508502,110.18345859064708,66.02520003876444
Howard,104.4233657503248,106.65317539832364,69.0648489274417
Queens,114.58907973120292,117.04894817314356,69.48978693812685
New Orleans,108.57842081700224,110.97751278683072,69.7419359569357
Jacksonville St.,105.30315596444149,107.7783375612685,65.08147377852016
Tulane,107.42184410997623,109.98091311307442,66.83816360932117
Drexel,102.54344798302076,105.05897740926969,64.17925637322246
Weber St.,110.97116624416336,113.7576308827176,68.51845807056371
Indiana St.,105.78652134909758,108.6549875037602,68.20024618164176
Columbia,107.7307384356614,110.73351792467508,66.80269085986598
James Madison,109.0321380436236,112.24282248549916,65.95075976418943
Marist,99.44487019908502,102.43090215471308,66.20652649439558
Mercer,110.59296005036131,113.91718514629534,68.92986014330647
Rice,108.91016419134117,112.43716300952356,65.59690988739285
San Jose St.,112.73065692441187,116.43446477172098,64.983666251147
Marshall,111.89106434707236,115.61793003027616,69.3866713583389
Drake,109.42874637369609,113.22385863802911,67.064316383879
San Diego,108.4487222032251,112.22105700205486,68.12202154924599
La Salle,105.84968514370316,109.61312430584113,65.74320378537591
