Name,Team,G,PA,AB,H,HR,RBI,R
Mark Vientos,NYM,121,463,424,99,17,61,44
Marcelo Mayer,BOS,44,136,127,29,4,10,20
Andy Ibanez,DET,91,193,176,42,4,21,24
Brenton Doyle,COL,138,538,502,117,15,57,57
Blake Perkins,MIL,54,171,155,35,3,19,25
Kyren Paris,LAA,44,140,126,24,6,11,20
Brayan Rocchio,CLE,115,383,344,80,5,44,34
Elias Diaz,SDP,106,283,255,52,9,29,34
Ben Williamson,SEA,85,295,277,70,1,21,36
Johan Rojas,PHI,71,172,152,34,1,18,23
Luisangel Acuna,NYM,95,193,175,41,0,8,30
Gavin Lux,CIN,140,503,446,120,5,53,49
Jake Fraley,- - -,76,217,191,46,6,23,31
DJ LeMahieu,NYY,45,142,128,34,2,12,13
Brooks Lee,MIN,139,527,487,115,16,64,50
Ha-seong Kim,- - -,48,191,171,40,5,17,19
Carlos Santana,- - -,124,474,415,91,11,54,49
Jose Trevino,CIN,94,302,282,67,4,22,30
Miles Mastrobuoni,SEA,76,175,152,38,1,12,20
Kameron Misner,TBR,71,217,197,42,5,22,27
Jake Rogers,DET,49,142,123,23,3,19,14
Taylor Walls,TBR,101,317,282,62,4,38,36
Rafael Marchan,PHI,42,118,105,22,2,13,9
Brandon Lockridge,- - -,67,148,134,31,0,11,17
Christian Vazquez,MIN,65,214,190,36,3,14,14
Troy Johnston,MIA,44,121,112,31,4,13,12
Andrew Benintendi,CHW,116,470,420,101,20,63,57
Trevor Larnach,MIN,142,567,503,126,17,60,62
C.J. Kayfus,CLE,44,138,123,27,4,19,16
Tommy Pham,PIT,120,449,392,96,10,52,44
Sam Haggerty,TEX,64,182,162,41,2,13,31
Coby Mayo,BAL,85,294,263,57,11,28,30
Ildemaro Vargas,ARI,38,121,115,31,3,19,12
Christian Moore,LAA,53,184,162,32,7,16,20
Paul DeJong,WSN,57,208,193,44,6,23,18
Yohel Pozo,STL,67,168,160,37,5,19,16
Luke Raley,SEA,73,219,183,37,4,19,23
Dylan Crews,WSN,85,322,293,61,10,27,43
Nacho Alvarez Jr.,ATL,58,208,188,44,2,15,18
Parker Meadows,DET,58,213,191,41,4,16,22
Josh Bell,WSN,140,533,468,111,22,63,54
Rowdy Tellez,- - -,112,312,289,66,17,49,34
Zach Dezenzo,HOU,34,109,98,24,2,10,17
Enmanuel Valdez,PIT,31,102,91,19,2,12,7
Luis Urias,ATH,96,330,287,66,8,25,27
Nick Loftin,KCR,67,188,168,35,4,20,17
Ryan Ritter,COL,60,207,187,45,1,18,22
Oswaldo Cabrera,NYY,34,122,107,26,1,11,17
Curtis Mead,- - -,90,264,240,56,3,19,26
Tyler Fitzgerald,SFG,72,243,217,47,4,14,19
Drew Gilbert,SFG,39,109,100,19,3,13,12
John Rave,KCR,72,175,153,30,4,14,18
David Hamilton,BOS,91,194,177,35,6,19,27
Will Benson,CIN,90,253,230,52,12,41,31
Agustin Ramirez,MIA,136,585,537,124,21,67,72
Colby Thomas,ATH,49,132,120,27,6,19,20
Adrian Del Castillo,ARI,44,131,120,29,4,17,9
Jose Tena,WSN,50,169,152,37,0,16,19
Justyn-Henry Malloy,DET,52,127,104,23,1,17,15
Austin Slater,- - -,65,160,148,32,5,13,22
Mitch Garver,SEA,87,290,254,53,9,30,29
Donovan Solano,- - -,71,179,166,41,3,21,10
Luis Rengifo,LAA,147,541,501,119,9,43,55
Tim Tawa,ARI,74,225,199,40,7,18,29
Matt Vierling,DET,31,100,88,21,1,11,6
Dane Myers,MIA,106,333,307,72,6,31,29
Alejandro Osuna,TEX,63,176,151,32,2,15,12
Kyle Karros,COL,43,156,137,31,1,9,20
Ezequiel Duran,TEX,90,219,205,46,0,14,16
Gary Sanchez,BAL,30,101,91,21,5,24,13
Andrew McCutchen,PIT,135,551,477,114,13,57,51
JJ Bleday,ATH,98,344,307,65,14,39,48
Masataka Yoshida,BOS,55,205,188,50,4,26,16
Jake Burger,TEX,103,376,356,84,16,53,43
Christopher Morel,TBR,105,305,278,61,11,33,37
Nick Sogard,BOS,30,104,96,25,0,9,13
Josh Lowe,TBR,108,435,396,87,11,40,56
Dylan Moore,- - -,106,243,219,44,11,25,35
Angel Martinez,CLE,139,484,446,100,11,45,56
Michael A. Taylor,CHW,134,325,295,59,9,35,33
Darell Hernaiz,ATH,51,197,173,40,2,16,17
Jake McCarthy,ARI,67,222,206,42,4,20,18
Dalton Rushing,LAD,53,155,142,29,4,24,15
Willie MacIver,ATH,33,111,102,19,3,9,7
Chas McCormick,HOU,66,116,100,21,1,5,13
Alan Roden,- - -,55,153,136,26,2,9,17
Henry Davis,PIT,87,283,252,42,7,22,25
Otto Kemp,PHI,62,218,197,46,8,28,26
Brooks Baldwin,CHW,103,328,300,72,11,38,32
Luis Matos,SFG,57,184,172,38,8,22,26
Edgar Quero,CHW,111,403,365,98,5,36,31
Wilmer Flores,SFG,125,463,419,101,16,71,44
Nolan Gorman,STL,111,402,351,72,14,46,48
Kristian Campbell,BOS,67,263,229,51,6,21,24
Taylor Trammell,HOU,52,135,117,23,3,12,15
Enrique Hernandez,LAD,93,256,232,47,10,35,30
Victor Robles,SEA,32,114,106,26,1,9,12
Jose Iglesias,SDP,112,343,306,70,3,36,29
Cooper Hummel,- - -,37,105,88,15,3,7,10
Nathaniel Lowe,- - -,153,609,540,123,18,84,64
Tyler O'Neill,BAL,54,209,181,36,9,26,22
Jorge Soler,LAA,82,315,279,60,12,34,31
Jonathan India,KCR,136,567,497,116,9,45,63
Thairo Estrada,COL,39,165,154,39,3,21,14
Cole Young,SEA,77,257,223,47,4,24,24
Will Wagner,- - -,55,149,129,29,0,7,15
Justin Turner,CHC,80,191,169,37,3,18,14
Cody Freeman,TEX,36,121,114,26,3,15,13
Travis d'Arnaud,LAA,69,231,213,42,6,21,16
Jonatan Clase,TOR,34,112,100,21,2,9,10
Santiago Espinal,CIN,114,328,301,73,0,16,25
Emmanuel Rivera,BAL,43,127,120,30,0,13,5
Brady House,WSN,73,274,261,61,4,29,26
Carson Williams,TBR,32,106,99,17,5,12,11
Tyler Wade,SDP,60,127,107,22,0,9,13
Samuel Basallo,BAL,31,118,109,18,4,15,10
Jose Herrera,ARI,58,204,166,31,2,17,21
Brendan Rodgers,HOU,43,128,115,22,2,11,12
Zack Gelof,ATH,30,101,92,16,2,7,12
Warming Bernabel,COL,40,146,139,35,4,14,15
Eric Wagaman,MIA,140,514,476,119,9,53,56
Randal Grichuk,- - -,113,293,272,62,9,27,35
Ryan Mountcastle,BAL,89,357,332,83,7,35,34
Weston Wilson,PHI,54,125,111,22,5,17,15
Max Muncy,ATH,63,220,206,44,9,23,17
Matt Mervis,MIA,42,134,120,21,7,14,15
Dylan Carlson,BAL,83,241,217,44,6,20,17
Gio Urshela,ATH,59,197,181,43,0,20,10
Nolan Jones,CLE,136,403,355,75,5,34,34
Michael Massey,KCR,77,277,262,64,3,20,20
Chris Taylor,- - -,58,125,113,21,2,12,15
Jon Berti,CHC,53,107,100,21,0,2,12
Hunter Feduccia,- - -,38,105,88,13,0,8,5
Alexander Canario,PIT,87,234,216,47,6,20,25
Jonah Heim,TEX,124,433,395,84,11,43,38
Braxton Fulford,COL,38,120,108,23,1,16,11
Nick Martini,COL,43,111,102,23,1,4,9
Robert Hassell III,WSN,70,206,197,44,3,18,22
James Outman,- - -,59,148,134,18,6,11,19
Jack Suwinski,PIT,59,178,150,22,3,10,15
Lane Thomas,CLE,39,142,125,20,4,11,10
Ben Rortvedt,- - -,44,128,112,17,1,10,9
Nick Castellanos,PHI,147,589,547,137,17,72,72
Michael Conforto,LAD,138,486,418,83,12,36,54
Christian Encarnacion-Strand,CIN,36,137,130,27,6,19,13
