IDfg,Name,PA,H,R,RBI,HR,SB,SO,Base_Hit_Rate,Base_HR_Rate,Base_RBI_Rate,Base_R_Rate,Base_SB_Rate,Base_K_Rate
17919,Ian Happ,2011,420,262,249,69,33,472,0.20885131775236201,0.034311287916459474,0.12381899552461462,0.13028344107409248,0.016409746394828444,0.2347090999502735
17982,Ty France,1200,259,125,109,25,2,231,0.21583333333333332,0.020833333333333332,0.09083333333333334,0.10416666666666667,0.0016666666666666668,0.1925
17988,Tyler Stephenson,1032,231,128,122,32,1,252,0.2238372093023256,0.031007751937984496,0.1182170542635659,0.12403100775193798,0.0009689922480620155,0.2441860465116279
18036,Jake Cronenworth,1693,347,187,190,38,14,322,0.2049616066154755,0.02244536326048435,0.11222681630242173,0.11045481393975191,0.008269344359125812,0.19019492025989368
18126,LaMonte Wade Jr.,519,110,64,45,17,2,95,0.2119460500963391,0.03275529865125241,0.08670520231213873,0.1233140655105973,0.0038535645472061657,0.18304431599229287
18314,Dansby Swanson,1876,411,247,223,62,48,466,0.21908315565031983,0.03304904051172708,0.11886993603411514,0.13166311300639658,0.0255863539445629,0.2484008528784648
18345,Kyle Tucker,1271,296,188,185,51,55,180,0.23288749016522423,0.04012588512981904,0.14555468135326516,0.14791502753737215,0.043273013375295044,0.14162077104642015
18360,Austin Riley,715,179,117,97,37,3,172,0.25034965034965034,0.05174825174825175,0.13566433566433567,0.16363636363636364,0.004195804195804196,0.24055944055944056
18373,Ryan Mountcastle,507,128,54,63,13,3,114,0.252465483234714,0.02564102564102564,0.1242603550295858,0.10650887573964497,0.005917159763313609,0.22485207100591717
18401,Ronald Acuna Jr.,735,217,149,106,41,73,84,0.29523809523809524,0.055782312925170066,0.14421768707482993,0.20272108843537415,0.09931972789115646,0.11428571428571428
18564,Trent Grisham,1136,209,154,124,47,18,291,0.18397887323943662,0.04137323943661972,0.10915492957746478,0.13556338028169015,0.01584507042253521,0.25616197183098594
18568,Luis Arraez,1964,584,220,176,22,23,84,0.2973523421588595,0.01120162932790224,0.08961303462321792,0.1120162932790224,0.011710794297352342,0.04276985743380855
18577,Ke'Bryan Hayes,1095,258,115,110,20,22,215,0.2356164383561644,0.0182648401826484,0.1004566210045662,0.1050228310502283,0.02009132420091324,0.1963470319634703
18839,Josh Naylor,1237,297,165,200,51,36,188,0.2400970088924818,0.041228779304769606,0.16168148746968472,0.1333872271624899,0.02910266774454325,0.15198059822150364
18882,Brandon Lowe,553,130,79,83,31,3,149,0.23508137432188064,0.05605786618444846,0.15009041591320071,0.14285714285714285,0.0054249547920434,0.2694394213381555
18900,Leody Taveras,1083,246,126,111,26,37,229,0.22714681440443213,0.024007386888273315,0.10249307479224377,0.11634349030470914,0.034164358264081256,0.21144967682363805
19197,Will Smith,1098,239,157,151,39,4,194,0.21766848816029144,0.03551912568306011,0.13752276867030966,0.1429872495446266,0.0036429872495446266,0.1766848816029144
19238,Lourdes Gurriel Jr.,1691,411,189,237,61,22,280,0.2430514488468362,0.036073329390892965,0.140153755174453,0.11176818450620934,0.013010053222945003,0.16558249556475457
19251,Pete Alonso,2062,439,270,332,118,8,485,0.21290009699321047,0.05722599418040737,0.16100872938894278,0.1309408341416101,0.0038797284190106693,0.23520853540252182
19287,Adolis Garcia,1816,381,234,267,83,33,487,0.20980176211453744,0.045704845814977975,0.14702643171806168,0.1288546255506608,0.01817180616740088,0.2681718061674009
19290,Randy Arozarena,2011,406,267,219,70,73,516,0.2018896071606166,0.034808552958727,0.10890104425658877,0.13276976628543014,0.036300348085529587,0.25658876181004475
19326,Bryan Reynolds,1986,466,226,245,64,25,467,0.23464249748237664,0.032225579053373615,0.12336354481369587,0.11379657603222558,0.012588116817724069,0.2351460221550856
19363,Austin Hays,566,143,76,67,16,5,141,0.25265017667844525,0.028268551236749116,0.11837455830388692,0.13427561837455831,0.0088339222614841,0.24911660777385158
19392,Zach McKinstry,1029,224,128,84,21,35,224,0.21768707482993196,0.02040816326530612,0.08163265306122448,0.12439261418853255,0.034013605442176874,0.21768707482993196
19470,Tommy Edman,528,119,69,47,13,27,84,0.22537878787878787,0.02462121212121212,0.08901515151515152,0.13068181818181818,0.05113636363636364,0.1590909090909091
19522,TJ Friedl,1241,287,155,119,32,39,205,0.23126510878323933,0.0257856567284448,0.0958904109589041,0.12489927477840451,0.031426269137792104,0.1651893634165995
19556,Yordan Alvarez,635,170,88,86,35,6,95,0.2677165354330709,0.05511811023622047,0.13543307086614173,0.13858267716535433,0.009448818897637795,0.14960629921259844
19566,Nathaniel Lowe,1898,415,215,235,51,4,449,0.21865121180189673,0.026870389884088516,0.1238145416227608,0.11327713382507903,0.002107481559536354,0.23656480505795574
19600,Bryan De La Cruz,1248,285,121,146,40,9,312,0.2283653846153846,0.03205128205128205,0.11698717948717949,0.09695512820512821,0.007211538461538462,0.25
19608,Otto Lopez,594,134,66,77,15,15,82,0.2255892255892256,0.025252525252525252,0.12962962962962962,0.1111111111111111,0.025252525252525252,0.13804713804713806
19610,Keibert Ruiz,562,136,55,67,18,1,58,0.24199288256227758,0.03202846975088968,0.11921708185053381,0.09786476868327403,0.0017793594306049821,0.10320284697508897
19611,Vladimir Guerrero Jr.,2059,530,272,281,79,13,290,0.2574065080135988,0.03836813987372511,0.13647401651287033,0.13210296260320545,0.006313744536182613,0.14084507042253522
19612,Bo Bichette,1229,356,147,167,38,9,206,0.28966639544344996,0.030919446704637917,0.13588283157038242,0.11960943856794141,0.007323026851098454,0.1676159479251424
19627,Brent Rooker,1839,438,235,270,99,21,504,0.23817292006525284,0.053833605220228384,0.1468189233278956,0.1277868406742795,0.011419249592169658,0.2740619902120718
19709,Fernando Tatis Jr.,1326,307,202,149,50,61,270,0.23152337858220212,0.03770739064856712,0.11236802413273002,0.15233785822021115,0.04600301659125189,0.20361990950226244
19755,Shohei Ohtani,2057,520,382,327,153,99,492,0.25279533300923673,0.0743801652892562,0.1589693728731162,0.1857073407875547,0.0481283422459893,0.23918327661643168
19858,Luis Rengifo,541,119,55,43,9,10,104,0.2199630314232902,0.0166358595194085,0.07948243992606285,0.10166358595194085,0.018484288354898338,0.1922365988909427
19901,Gavin Sheets,545,124,57,71,19,2,107,0.22752293577981653,0.03486238532110092,0.13027522935779817,0.10458715596330276,0.003669724770642202,0.1963302752293578
19913,Jesus Sanchez,537,123,60,64,18,16,140,0.22905027932960895,0.0335195530726257,0.1191806331471136,0.11173184357541899,0.0297951582867784,0.260707635009311
19918,Daulton Varsho,1094,214,138,119,38,26,272,0.1956124314442413,0.03473491773308958,0.10877513711151737,0.12614259597806216,0.02376599634369287,0.24862888482632542
19950,Andres Gimenez,1249,287,140,125,24,60,209,0.22978382706164932,0.01921537229783827,0.100080064051241,0.11208967173738991,0.04803843074459568,0.16733386709367493
19955,Gavin Lux,503,120,49,53,5,1,114,0.23856858846918488,0.009940357852882704,0.10536779324055666,0.09741550695825049,0.0019880715705765406,0.22664015904572565
20036,Isaac Paredes,1212,252,135,178,50,2,209,0.2079207920792079,0.041254125412541254,0.14686468646864687,0.11138613861386139,0.0016501650165016502,0.17244224422442245
20043,Luis Robert Jr.,595,144,90,80,38,20,172,0.24201680672268908,0.06386554621848739,0.13445378151260504,0.15126050420168066,0.03361344537815126,0.28907563025210087
20123,Juan Soto,2136,474,345,323,119,57,385,0.22191011235955055,0.05571161048689138,0.15121722846441948,0.16151685393258428,0.026685393258426966,0.1802434456928839
20178,Miguel Vargas,569,118,80,60,16,6,100,0.20738137082601055,0.028119507908611598,0.1054481546572935,0.140597539543058,0.01054481546572935,0.1757469244288225
20220,Jo Adell,573,124,63,98,37,5,151,0.2164048865619546,0.06457242582897033,0.17102966841186737,0.1099476439790576,0.008726003490401396,0.26352530541012215
20308,Jake Meyers,513,101,51,61,13,11,117,0.1968810916179337,0.025341130604288498,0.1189083820662768,0.09941520467836257,0.021442495126705652,0.22807017543859648
20352,Ernie Clement,588,151,83,50,9,6,61,0.2568027210884354,0.015306122448979591,0.08503401360544217,0.141156462585034,0.01020408163265306,0.10374149659863946
20391,Luis Garcia Jr.,1054,264,125,136,34,36,170,0.2504743833017078,0.03225806451612903,0.12903225806451613,0.11859582542694497,0.03415559772296015,0.16129032258064516
